id,name,neighbourhood_group,neighbourhood,latitude_x,longitude_x,room_type,price_x,minimum_nights_x,minimum_nights_y,price_y,geometry
782703731135941912,A cozy Duplex apartment with a private rooftop,Brooklyn,Williamsburg,40.715438654871946,-73.95543940365314,Entire home/apt,120,3,30,100.0,POINT (-73.95543940365314 40.715438654871946)
783995604151732967,Sunny Williamsburg Loft,Brooklyn,Williamsburg,40.71613,-73.96065,Private room,150,4,14,,POINT (-73.96065 40.71613)
784023302325164605,Private Room in Williamsburg Apt,Brooklyn,Williamsburg,40.70805,-73.96784,Private room,71,3,30,108.0,POINT (-73.96784 40.70805)
785521981225215719,Gorgeous & Spacious Williamsburg Apartment,Brooklyn,Williamsburg,40.72013316165373,-73.9576318065701,Entire home/apt,450,3,30,450.0,POINT (-73.9576318065701 40.72013316165373)
786922824217916583,Beautiful corner unit with sweeping views of city,Brooklyn,Williamsburg,40.70981,-73.96787,Entire home/apt,600,30,30,450.0,POINT (-73.96787 40.70981)
786986645361368404,Williamsburg private 1 bedroom,Brooklyn,Williamsburg,40.7173717,-73.9573375,Entire home/apt,206,2,30,275.0,POINT (-73.9573375 40.7173717)
788537271422081521,"Prime WB, large outdoor & views",Brooklyn,Williamsburg,40.71697857160656,-73.9592215048712,Entire home/apt,220,10,30,,POINT (-73.9592215048712 40.71697857160656)
787866935649635640,"Stylish, full floor suite in BK",Brooklyn,Williamsburg,40.71706677281831,-73.95825795718446,Private room,254,3,30,289.0,POINT (-73.95825795718446 40.71706677281831)
791243921943197302,Artsy Williamsburg for Creatives,Brooklyn,Williamsburg,40.71299835438103,-73.95814763943162,Entire home/apt,159,3,30,200.0,POINT (-73.95814763943162 40.71299835438103)
791885199984640106,Garden Fairy Retreat 1,Brooklyn,Williamsburg,40.71201297729234,-73.96139532969244,Entire home/apt,350,1,1,128.0,POINT (-73.96139532969244 40.71201297729234)
797161677213334866,The Terrace,Brooklyn,Williamsburg,40.714154395696966,-73.96529788984402,Entire home/apt,100,31,31,250.0,POINT (-73.96529788984402 40.714154395696966)
795636879388062389,Furnished Full Bedroom C in #691: Williamsburg,Brooklyn,Williamsburg,40.71405245032505,-73.9395109323412,Private room,94,30,30,79.0,POINT (-73.9395109323412 40.71405245032505)
797894095534905728,"Huge Creative Duplex Loft| Williamsburg 3,000Sq/Ft",Brooklyn,Williamsburg,40.71346276572074,-73.95720597452973,Entire home/apt,850,1,30,886.0,POINT (-73.95720597452973 40.71346276572074)
798792308049527521,Williamsburg Bedroom by Domino,Brooklyn,Williamsburg,40.71113330859204,-73.96741135582123,Private room,65,3,30,90.0,POINT (-73.96741135582123 40.71113330859204)
799406556818678045,Central Williamsburg Pad,Brooklyn,Williamsburg,40.71563193715718,-73.9471465948834,Private room,84,3,30,70.0,POINT (-73.9471465948834 40.71563193715718)
802067674730824394,Private Room-Prime Williamsburg,Brooklyn,Williamsburg,40.71445,-73.95933,Private room,88,1,30,,POINT (-73.95933 40.71445)
803060292907495769,Bk gem! 5 minutes to Manhattan,Brooklyn,Williamsburg,40.71365296124837,-73.96395747234229,Entire home/apt,556,4,30,749.0,POINT (-73.96395747234229 40.71365296124837)
807467054653213959,"Cozy Room in Heart of Wburg, BK!",Brooklyn,Williamsburg,40.714116188762006,-73.96141684038005,Private room,91,3,30,91.0,POINT (-73.96141684038005 40.714116188762006)
807888000876453799,Brand New Williamsburg Townhouse,Brooklyn,Williamsburg,40.71335853002272,-73.96222657852759,Entire home/apt,180,3,30,,POINT (-73.96222657852759 40.71335853002272)
807945843450389326,Brick Wall Room near by Williamsburg Bridge,Brooklyn,Williamsburg,40.7090336,-73.9615428,Private room,100,5,30,106.0,POINT (-73.9615428 40.7090336)
808624705090281349,One Bedroom Apt - Williamsburg!,Brooklyn,Williamsburg,40.7145166,-73.9492286,Entire home/apt,132,1,30,200.0,POINT (-73.9492286 40.7145166)
808177125060067826,"Stylish, Spacious  1BR w/balcony",Brooklyn,Williamsburg,40.7186898201265,-73.9553528643047,Entire home/apt,252,1,30,,POINT (-73.9553528643047 40.7186898201265)
809538144227617203,Cozy apt w/ balcony next to Williamsburg Bridge,Brooklyn,Williamsburg,40.7102352,-73.9649074,Entire home/apt,250,7,30,250.0,POINT (-73.9649074 40.7102352)
