id,name,neighbourhood_group,neighbourhood,latitude_x,longitude_x,room_type,price_x,minimum_nights_x,minimum_nights_y,price_y,geometry
43553341,Bright & Large Apartment With Authentic NYC Charm,Manhattan,Lower East Side,40.71948,-73.99031,Entire home/apt,220,20,30,200.0,POINT (-73.99031 40.71948)
44049457,138 Bowery-Classic King Studio,Manhattan,Lower East Side,40.71942,-73.99386,Entire home/apt,105,15,15,175.0,POINT (-73.99386 40.71942)
44059368,Homey & Spacious 3 Bedroom Apartment,Manhattan,Lower East Side,40.71652,-73.98908,Entire home/apt,250,30,30,,POINT (-73.98908 40.71652)
44118529,2 Bedroom Apartment w/ Large Private Patio in LES,Manhattan,Lower East Side,40.71948,-73.99063,Entire home/apt,250,3,30,,POINT (-73.99063 40.71948)
44192923,All-new HUGE photo-shoot-ready 2 Bedroom in LES !!,Manhattan,Lower East Side,40.71753901842585,-73.99052746305674,Entire home/apt,600,365,365,600.0,POINT (-73.99052746305674 40.71753901842585)
44476787,"Modern, Roomy 2BD/2BA in the heart of SOHO/LES",Manhattan,Lower East Side,40.72255,-73.99265,Entire home/apt,195,30,30,248.0,POINT (-73.99265 40.72255)
44749512,138 Bowery-Spacious King Suite,Manhattan,Lower East Side,40.71858,-73.99369,Entire home/apt,150,15,15,229.0,POINT (-73.99369 40.71858)
45013494,138 Bowery-Modern Queen Studio,Manhattan,Lower East Side,40.71875,-73.99399,Entire home/apt,160,15,15,210.0,POINT (-73.99399 40.71875)
45079976,Private Bathroom Lower East Side Apartment,Manhattan,Lower East Side,40.71347,-73.98844,Private room,39,30,30,,POINT (-73.98844 40.71347)
45421986,East Village Loft Space Duplex,Manhattan,Lower East Side,40.72305,-73.99105,Entire home/apt,295,30,30,,POINT (-73.99105 40.72305)
45591853,138 Bowery-King Suite w. Living Room Space,Manhattan,Lower East Side,40.72018,-73.99403,Entire home/apt,155,15,15,230.0,POINT (-73.99403 40.72018)
45595993,138 Bowery-Studio Suite w. Dining Area,Manhattan,Lower East Side,40.71958,-73.99391,Entire home/apt,135,15,15,193.0,POINT (-73.99391 40.71958)
45480128,Lower East Side Cool - Private Bath/BED + Terrace,Manhattan,Chinatown,40.71562,-73.99194,Private room,150,7,365,150.0,POINT (-73.99194 40.71562)
45672270,Heart of Chinatown 1 bedroom/ near Brooklyn Bridge,Manhattan,Chinatown,40.71451,-73.99642,Entire home/apt,60,30,30,,POINT (-73.99642 40.71451)
45685520,Skyline 1BR with 600sq ft Private Terrace - LES,Manhattan,Lower East Side,40.71991,-73.98318,Entire home/apt,195,30,30,195.0,POINT (-73.98318 40.71991)
45691383,138 Bowery-Classic Queen Studio,Manhattan,Lower East Side,40.72034,-73.99387,Entire home/apt,110,15,15,194.0,POINT (-73.99387 40.72034)
45697372,138 Bowery-King Suite w. Living Room Space,Manhattan,Lower East Side,40.71844,-73.99383,Entire home/apt,176,15,15,230.0,POINT (-73.99383 40.71844)
45697850,138 Bowery-Studio Suite w. Dining Area,Manhattan,Lower East Side,40.71959,-73.9939,Entire home/apt,150,15,15,198.0,POINT (-73.9939 40.71959)
45970489,stunning 2 floors apt in the lower east side,Manhattan,Lower East Side,40.71313,-73.98039,Entire home/apt,130,30,30,,POINT (-73.98039 40.71313)
45752036,138 Bowery-Modern King Studio,Manhattan,Lower East Side,40.7183,-73.99418,Entire home/apt,121,15,15,215.0,POINT (-73.99418 40.7183)
46025711,138 Bowery-Classic Queen Studio,Manhattan,Lower East Side,40.71864,-73.99388,Entire home/apt,138,15,15,200.0,POINT (-73.99388 40.71864)
46419119,Disco meets Chinatown Chic Lower East Side Apt.,Manhattan,Chinatown,40.71413,-73.99409,Entire home/apt,347,3,30,350.0,POINT (-73.99409 40.71413)
46354423,138 Bowery-King Suite w. Living Room Space,Manhattan,Lower East Side,40.72027,-73.99374,Entire home/apt,200,15,15,230.0,POINT (-73.99374 40.72027)
46768272,138 Bowery-Bright Studio,Manhattan,Lower East Side,40.7185,-73.99376,Entire home/apt,110,30,30,145.0,POINT (-73.99376 40.7185)
46814731,"Beautiful, large, sun-filled 1BD in Chinatown/LES",Manhattan,Chinatown,40.71693,-73.99413,Entire home/apt,275,30,30,,POINT (-73.99413 40.71693)
47142595,"Authentic Artist Loft in Heart of LES, Soho/Nolita",Manhattan,Chinatown,40.71714,-73.99515,Entire home/apt,221,3,30,200.0,POINT (-73.99515 40.71714)
47287837,Boutique Condo,Manhattan,Lower East Side,40.71785,-73.98789,Entire home/apt,182,15,30,,POINT (-73.98789 40.71785)
47162719,"Writer's Sun filled cozy room , super convenient",Manhattan,Lower East Side,40.71986,-73.99415,Private room,129,4,4,158.0,POINT (-73.99415 40.71986)
47311675,Beautiful & Bright Apt steps from Chinatown + LES,Manhattan,Two Bridges,40.71139,-73.99406,Entire home/apt,129,30,30,,POINT (-73.99406 40.71139)
47199810,Amazing LES Studio on Orchard Street,Manhattan,Lower East Side,40.72054,-73.98824,Entire home/apt,300,2,30,,POINT (-73.98824 40.72054)
47202211,Penthouse in Nolita w/ Downtown/Skyline Views,Manhattan,Lower East Side,40.72032,-73.99389,Private room,46,7,30,,POINT (-73.99389 40.72032)
47593392,Bright 1 Bed in the best Manhattan Neighborhood,Manhattan,Chinatown,40.71499,-73.99137,Entire home/apt,99,30,30,,POINT (-73.99137 40.71499)
47595646,1 Bd Apt in Heart of LES with Massive Private Roof,Manhattan,Lower East Side,40.72186,-73.98963,Entire home/apt,130,3,30,,POINT (-73.98963 40.72186)
47464130,Modern 2 BR / 1.5 Bath in Lower Manhattan,Manhattan,Two Bridges,40.71151,-73.99418,Entire home/apt,110,27,30,,POINT (-73.99418 40.71151)
